product_id,product_name,base_price,optimal_price,predicted_units,expected_revenue
1,Fitness Band #1,2819,3155.2,5.53,17448.26
2,Fitness Band #2,3340,3972.0,5.22,20733.84
3,Laptop #3,3353,3982.4,5.6,22301.44
4,Backpack #4,1058,1146.4,5.85,6706.44
5,Tablet #5,1617,1893.6,5.82,11020.75
6,VR Headset #6,708,816.4,6.11,4988.2
7,Wall Decor #7,240,242.0,4.51,1091.42
8,Action Figure #8,2394,2665.2,5.88,15671.38
9,Microwave #9,2894,3465.2,5.03,17429.96
10,Remote Car #10,894,1065.2,5.32,5666.86
11,VR Headset #11,787,879.6,5.76,5066.5
12,Eyeliner #12,1806,2144.8,5.12,10981.38
13,Biography #13,1583,1866.4,5.75,10731.8
14,LED Lamp #14,1874,2249.2,5.8,13045.36
15,Conditioner #15,2121,2496.8,5.35,13357.88
16,Wallet #16,2443,2904.4,5.28,15335.23
17,Heart Rate Monitor #17,3034,3627.2,5.51,19985.87
18,Heart Rate Monitor #18,2591,3072.8,5.49,16869.67
19,Backpack #19,1902,2121.6,6.46,13705.54
20,Yoga Mat #20,241,242.8,6.93,1682.6
21,Remote Car #21,4974,5929.2,5.08,30120.34
22,Smart Glasses #22,3354,3783.2,5.52,20883.26
23,Puzzle #23,1608,1886.4,4.6,8677.44
24,Clock #24,234,237.2,5.78,1371.02
25,Cookbook #25,4490,5042.0,5.34,26924.28
26,Sunglasses #26,741,842.8,4.51,3801.03
27,Belt #27,1926,2290.8,5.35,12255.78
28,LED Lamp #28,3454,3863.2,5.27,20359.06
29,Action Figure #29,2629,3153.2,5.03,15860.6
30,Cushions #30,4192,5003.6,5.08,25418.29
31,Running Shoes #31,4310,5148.0,4.97,25585.56
32,Wall Decor #32,553,642.4,5.7,3661.68
33,Action Figure #33,3118,3494.4,5.54,19358.98
34,Microwave #34,2034,2427.2,5.67,13762.22
35,Resistance Bands #35,1818,2154.4,5.52,11892.29
36,Blender #36,3251,3900.8,5.57,21727.46
37,Laptop #37,4809,5747.2,5.51,31667.07
38,Treadmill #38,3102,3681.6,5.35,19696.56
39,Doll #39,3807,4545.6,5.77,26228.11
40,Eyeliner #40,2080,2464.0,5.9,14537.6
41,Toaster #41,4446,5306.8,5.31,28179.11
42,Bluetooth Speaker #42,3474,3879.2,5.49,21296.81
43,Action Figure #43,1474,1729.2,4.93,8524.96
44,Shampoo #44,4959,5567.2,5.33,29673.18
45,Slippers #45,3355,3984.0,5.67,22589.28
46,Yoga Mat #46,1862,2189.6,5.12,11210.75
47,Toaster #47,2401,2870.8,5.0,14354.0
48,Clock #48,4006,4804.8,4.47,21477.46
49,Bluetooth Speaker #49,3860,4588.0,5.08,23307.04
50,Belt #50,3148,3518.4,5.56,19562.3
51,Watch Strap #51,238,240.4,4.57,1098.63
52,Dumbbells #52,720,826.0,4.52,3733.52
53,Belt #53,2727,3231.6,5.32,17192.11
54,Fitness Band #54,4648,5568.4,5.06,28176.1
55,Laptop #55,4944,5905.2,5.34,31533.77
56,Smartphone #56,4542,5433.6,4.55,24722.88
57,Slippers #57,3294,3685.2,5.8,21374.16
58,Self-help Book #58,1687,1999.6,5.73,11457.71
59,Juicer #59,1452,1711.6,5.56,9516.5
60,Eyeliner #60,2749,3299.2,5.5,18145.6
61,Kettlebell #61,4291,5132.8,4.17,21403.78
62,Conditioner #62,467,523.6,5.86,3068.3
63,Juicer #63,1643,1814.4,5.87,10650.53
64,Clock #64,2813,3350.4,5.29,17723.62
65,Power Bank #65,901,1070.8,5.38,5760.9
66,Cookbook #66,2245,2646.0,5.4,14288.4
67,Fiction Book #67,3438,4100.4,5.25,21527.1
68,Backpack #68,4965,5572.0,5.43,30255.96
69,Resistance Bands #69,4677,5591.6,5.49,30697.88
70,Action Figure #70,4986,5938.8,5.08,30169.1
71,Watch Strap #71,3648,4368.4,5.08,22191.47
72,Sunglasses #72,1888,2260.4,6.33,14308.33
73,Smartphone #73,4568,5454.4,5.77,31471.89
74,Bluetooth Speaker #74,4478,5332.4,5.2,27728.48
75,Running Shoes #75,1765,2112.0,4.7,9926.4
76,Self-help Book #76,4132,4955.6,4.77,23638.21
77,Clock #77,4512,5409.6,5.08,27480.77
78,Sandals #78,368,394.4,5.41,2133.7
79,Comic Book #79,3188,3800.4,5.13,19496.05
80,Sneakers #80,4752,5701.6,4.7,26797.52
81,Kettlebell #81,313,350.4,5.77,2021.81
82,Conditioner #82,1372,1597.6,5.0,7988.0
83,Wall Decor #83,902,1071.6,5.43,5818.79
84,Fiction Book #84,4525,5420.0,5.13,27804.6
85,VR Headset #85,703,812.4,5.02,4078.25
86,Sneakers #86,2121,2346.8,5.91,13869.59
87,Tablet #87,1821,2156.8,5.39,11625.15
88,Cushions #88,637,759.6,5.32,4041.07
89,Cushions #89,822,907.6,5.77,5236.85
90,Lipstick #90,512,609.6,5.55,3383.28
91,Smartphone #91,369,395.2,5.92,2339.58
92,Rice Cooker #92,3631,4354.8,5.21,22688.51
93,Kettlebell #93,4539,5431.2,5.15,27970.68
94,Resistance Bands #94,3952,4411.6,5.61,24749.08
95,Bluetooth Speaker #95,452,511.6,5.68,2905.89
96,Bluetooth Speaker #96,3456,4114.8,5.6,23042.88
97,Boots #97,1729,2033.2,5.82,11833.22
98,Cookbook #98,890,1062.0,5.4,5734.8
99,Dumbbells #99,1974,2329.2,5.4,12577.68
100,Cushions #100,699,809.2,4.95,4005.54
